sample_id,n_sites,n_defects,defect_density,defect_strength,defect_sites,mean_defect_distance,clustering_index,mean_energy,energy_gap,energy_bandwidth,mean_ipr,max_ipr,transport_descriptor
824,40,6,0.15,2.1460732099416235,0;5;20;31;35;37,7.4,0.11904761904761904,0.32191098149124353,0.12468030317552833,5.10327833176037,0.16545883585721302,0.6476067021431793,0.7601910244103947
825,40,2,0.05,3.8526340369086625,4;7,3.0,0.25,0.19263170184543305,0.18737746528752125,6.379891548187123,0.08612916368752252,0.4145879404087682,0.8801816131136978
826,40,2,0.05,0.9261543996881944,8;18,10.0,0.09090909090909091,0.046307719984409655,0.18896318911752757,4.189678833459403,0.05357666267941199,0.13037363230731536,0.9061445695780348
827,40,6,0.15,1.8541203230093837,0;14;16;19;20;28,5.6,0.15151515151515152,0.2781180484514076,0.07727910824238488,5.166596182670293,0.13803782736198772,0.5492056251871507,0.7763747141247288
828,40,4,0.1,2.1584992589478476,4;7;24;34,10.0,0.09090909090909091,0.21584992589478466,0.2225538743845676,4.997768283221418,0.11455453683452228,0.3189749641976512,0.8233471364787678
829,40,9,0.225,1.8223288668111388,0;2;4;9;11;13;21;26;33,4.125,0.1951219512195122,0.41002399503250614,0.07438395259352881,4.87053227197336,0.14575962194894146,0.45511183283381784,0.7295225099920899
830,40,4,0.1,2.076938015541606,4;20;22;35,10.333333333333334,0.08823529411764705,0.2076938015541605,0.15262252569958673,5.056433491901295,0.12204736528749709,0.5090016718059867,0.818298887919734
831,40,11,0.275,2.7664795805316897,8;9;17;19;24;25;26;27;31;33;34,2.6,0.2777777777777778,0.7607818846462144,0.26578224741605405,6.342100314741273,0.22943542963287347,0.5871704217761443,0.6647011764699196
832,40,5,0.125,2.702451576463178,2;4;11;27;39,9.25,0.0975609756097561,0.3378064470578972,0.10329259921424963,5.5332447784372825,0.16062324264194378,0.759130307813871,0.7778328571168402
833,40,12,0.3,2.9703211576572377,3;6;8;14;17;21;22;23;26;27;35;37,3.090909090909091,0.24444444444444444,0.8910963472971712,0.03895638490338604,6.374461481127035,0.2816913617573612,0.5966775079627246,0.6322345965706833
834,40,8,0.2,3.182226588001711,2;14;23;26;28;30;31;39,5.285714285714286,0.1590909090909091,0.6364453176003424,0.18869401746287973,6.385750297308629,0.23187797684949066,0.8202427089610029,0.6983835327925525
835,40,4,0.1,1.9144646089719337,9;15;16;18,3.0,0.25,0.19144646089719336,0.2738913834501946,5.2783293470002945,0.10789980619942037,0.5093195761124494,0.827883235734954
836,40,12,0.3,3.4067294369608687,0;9;18;22;23;24;25;31;32;35;37;38,3.4545454545454546,0.22448979591836732,1.0220188310882607,0.03206724444126419,6.983951893034112,0.2681326252118711,0.8413429605479456,0.6377011637423776
837,40,2,0.05,1.9409467278714398,0;26,26.0,0.037037037037037035,0.09704733639357196,0.1931580626900974,4.773313808399273,0.08045436726112734,0.5804730510745846,0.8846000590212296
838,40,3,0.075,1.3752575457711274,9;14;23,7.0,0.125,0.1031443159328346,0.12674070448740352,4.424632844917454,0.08209821830073978,0.3700237410627869,0.8642308701058699
839,40,4,0.1,3.7768839800978826,20;21;34;36,5.333333333333333,0.15789473684210528,0.37768839800978826,0.05502077333999185,6.96434446650932,0.13830050873077734,0.458016040538129,0.8075584181298378
840,40,4,0.1,0.6789279022110128,1;22;25;35,11.333333333333334,0.08108108108108107,0.06789279022110131,0.14396589594576037,4.162549047968409,0.05582737605536443,0.19682025146423607,0.8651810994586614
841,40,10,0.25,0.2733841581018841,0;5;6;17;24;28;33;34;36;37,4.111111111111111,0.1956521739130435,0.06834603952547105,0.14837377947818212,4.0667623731556874,0.04618685840312742,0.11677200023248836,0.7714937036408294
842,40,11,0.275,1.8498782025080043,0;1;3;4;6;10;20;33;34;35;36,3.6,0.2173913043478261,0.5087165056897012,0.17210996636361153,5.511578881719753,0.13502779845171126,0.4953178637736016,0.7092058760104272
843,40,7,0.175,3.6996687479560486,1;4;5;16;20;22;34,5.5,0.15384615384615385,0.6474420308923085,0.2486403688369863,6.850610761147796,0.22485645425351453,0.7912169751104141,0.714358959421492
844,40,9,0.225,3.3755097026537824,1;2;8;16;22;30;35;38;39,4.75,0.17391304347826086,0.759489683097101,0.03906959956491274,6.468770405626989,0.20967825442818472,0.7402015682475742,0.6970203924911141
845,40,12,0.3,2.7922919192891587,2;4;5;12;14;22;24;25;26;29;31;34,2.909090909090909,0.2558139534883721,0.8376875757867476,0.015392779775677434,6.212980426525769,0.2567569080964373,0.5991141822698733,0.6423610486641581
846,40,9,0.225,2.5365796395087563,11;17;18;21;22;25;27;34;39,3.5,0.2222222222222222,0.5707304188894703,0.03800982547423215,5.789825388096589,0.19869419971469865,0.7290457971613769,0.7023980291556958
847,40,3,0.075,3.843474894239194,16;30;36,10.0,0.09090909090909091,0.2882606170679395,0.17326981763471325,6.300447085291216,0.13527602345217526,0.7925751429920634,0.826257796256769
848,40,5,0.125,1.1034885834663208,22;23;29;35;39,4.25,0.19047619047619047,0.13793607293329016,0.21866293538472525,4.561381579023226,0.07487913146006972,0.31468166583813895,0.8334172782746482
849,40,7,0.175,3.2330631803485277,0;1;12;20;31;32;34,5.666666666666667,0.15,0.5657860565609923,0.4082373418511013,6.420143037052844,0.17556707390151,0.6573354745470721,0.7404297197259563
850,40,12,0.3,3.477377009595646,3;8;9;10;14;15;22;23;24;28;30;37,3.090909090909091,0.24444444444444444,1.0432131028786937,0.24170996718821858,6.828040974185838,0.2965196621198207,0.7612333959552683,0.6263624706458195
851,40,2,0.05,0.13941591328190825,8;21,13.0,0.07142857142857142,0.006970795664095442,0.15263241985471107,3.992527663582135,0.03737969477740778,0.04420223106437877,0.9196419657300158
