sample_id,n_sites,n_defects,defect_positions,defect_strength,mean_energy,energy_bandwidth,mean_ipr,max_ipr,transport_descriptor
166,40,1,1,3.8431206370839592,0.09607801592709897,6.313614137434836,0.062164719988363634,0.805725864414519,0.9414735597798384
167,40,5,1;3;9;10;38,2.1127424249027382,0.2640928031128422,5.422070848735467,0.1075126594198345,0.5991367896368959,0.9029242162557721
168,40,5,1;4;11;33;37,2.8229399298786624,0.35286749123483274,5.499823347349628,0.14484160562356735,0.6794714911555229,0.873483279335681
169,40,3,7;12;38,1.7247775689696767,0.12935831767272565,4.648933652513673,0.08525107229081733,0.5194974083988512,0.9214457608313034
170,40,1,0,0.5370744468949205,0.01342686117237304,3.9884783319635257,0.03666148344972744,0.03826233363209044,0.96463504814732
171,40,3,0;6;32,2.0090578253781115,0.15067933690335839,4.821392804646623,0.0997460085642662,0.6064433083690208,0.909300867848126
172,40,1,13,1.7821753785711536,0.04455438446427886,4.665853671176382,0.06112210167141313,0.47986606596384696,0.9423986159791249
173,40,4,17;21;28;32,1.0456831268104976,0.10456831268104969,4.290270365449519,0.06620563686216503,0.16752747912176041,0.9379053771868926
174,40,6,8;12;16;25;29;31,1.8970014604343082,0.28455021906514616,4.86593593353392,0.12343882773962629,0.4107046233922802,0.8901241218554046
175,40,6,1;5;6;12;22;24,0.8344557017642721,0.12516835526464076,4.349819719345418,0.07778560173631235,0.2929962656648434,0.9278283161224276
176,40,5,1;4;5;24;27,2.401761992787892,0.30022024909848644,5.673290007172643,0.13125061883303904,0.642305394573907,0.883977416986138
177,40,5,0;10;18;30;34,3.1144558137276075,0.3893069767159508,5.65881375339541,0.1561338686188049,0.813081244675187,0.8649517388454911
178,40,6,9;10;22;29;35;37,1.5099907066928775,0.22649860600393157,4.851704882158763,0.10139083757866149,0.36301475001748235,0.9079429080765165
179,40,5,5;12;21;29;31,1.714701765778022,0.21433772072225285,4.743641025287865,0.11764179956410104,0.4253459352749402,0.8947410524463354
180,40,4,3;11;31;34,0.17423317648819767,0.017423317648819703,4.001224376870486,0.03887803601889596,0.05800770645133395,0.9625769005879831
181,40,5,5;24;27;28;32,3.571075882759012,0.4463844853448765,6.765103973044545,0.1838283105377824,0.7683255361661806,0.8447170853227238
182,40,1,23,0.5915027328118434,0.014787568320296063,4.070890343417366,0.045260939211193764,0.15332282616805604,0.9566989088434225
183,40,5,2;5;6;24;26,0.11562965846002404,0.01445370730750294,3.996822558506361,0.03824232933126766,0.053343154479484595,0.9631662779961018
184,40,6,0;15;19;21;22;36,2.1911816111343634,0.32867724167015455,5.500877671301964,0.14756683279632188,0.6552483165109445,0.8714089423125448
185,40,1,24,1.1654300468534178,0.029135751171335357,4.300076504546509,0.05457482828162273,0.3155475714099951,0.9482494491447803
186,40,5,1;5;11;16;22,0.17082612126601984,0.021353265158252466,4.00436439224478,0.03833552617482956,0.05476625789658963,0.9630798280435848
187,40,1,23,1.0019941047787237,0.025049852619468037,4.221281638258207,0.052273777702803316,0.26889943722169307,0.9503230254231736
188,40,6,7;9;23;30;35;38,2.930501575390192,0.4395752363085288,5.706347764249467,0.17052410971028995,0.6825152307714599,0.8543181568874345
189,40,5,9;20;27;28;39,0.14863252397073162,0.018579065496341474,4.00101599472936,0.03923215301038888,0.05956364738495689,0.9622489037730949
190,40,1,31,2.1288972614793757,0.0532224315369844,4.911628832176891,0.06465018611228353,0.5579858309280674,0.9392756541485588
191,40,3,3;15;36,1.6405282361581701,0.12303961771186275,4.566687062798822,0.09099126829091135,0.4520084643831248,0.9165976200401188
192,40,1,27,0.682559209835788,0.017063980245894693,4.101828819700417,0.045051788885561425,0.17869903521213723,0.9568903767596011
193,40,3,7;10;36,3.450033156175084,0.2587524867131315,6.029275188147264,0.12198330800723249,0.7565671821829352,0.8912788567025222
194,40,6,7;8;13;18;31;35,2.116375998712774,0.31745639980691603,5.386351302808916,0.12978628677858395,0.406468879800755,0.8851231526728386
195,40,1,29,2.951430308945902,0.07378575772364752,5.554523258096005,0.07373228952744523,0.6975793357003989,0.9313308445255984
196,40,4,17;22;28;36,3.47573290335201,0.3475732903352009,5.984819639537364,0.1431949549745289,0.45164288560733695,0.8747414390245282
197,40,6,0;3;7;17;18;27,1.5708642533871549,0.23562963800807307,4.907443452215532,0.11288459746585225,0.4760271414307725,0.8985657652887805
198,40,5,15;24;25;33;34,2.365858557617398,0.29573231970217473,5.6265787197955035,0.12112869003159484,0.6045396360123778,0.8919582639275949
199,40,3,0;15;24,1.9237970008437262,0.14428477506327947,4.7396714537246565,0.0941133149872426,0.5745583491903534,0.9139821134629552
